AnimationName,Timestamp,Root_P_x_0,Root_P_z_0,Root_F_x_0,Root_F_z_0,Root_P_x_1,Root_P_z_1,Root_F_x_1,Root_F_z_1,Root_P_x_2,Root_P_z_2,Root_F_x_2,Root_F_z_2,Root_P_x_3,Root_P_z_3,Root_F_x_3,Root_F_z_3,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,Neck_P_x,Neck_P_y,Neck_P_z,LeftFoot_V_x,LeftFoot_V_y,LeftFoot_V_z,RightFoot_V_x,RightFoot_V_y,RightFoot_V_z,Neck_V_x,Neck_V_y,Neck_V_z
Left180_1,0,0.03009053,0.1072835,-0.1071446,0.6776448,0.02903784,0.1805474,-0.3272941,0.6029603,-0.02648887,0.2820384,-0.5402352,0.4228812,-0.06947163,0.3433188,-0.6526828,0.2113947,-0.01966518,0.05818473,-0.04901909,0.2421211,0.08648254,-0.2735249,-0.05579628,1.429948,0.1352787,0,0,0,0,0,0,0,0,0
Left180_1,0.01695081,0.03049965,0.1033766,-0.1230811,0.6749322,0.02472512,0.1773227,-0.3442612,0.5934364,-0.0374134,0.2844526,-0.557451,0.3999135,-0.07438119,0.3333531,-0.6593508,0.1895759,-0.021269,0.05580863,-0.05822281,0.2600155,0.08148826,-0.2511614,-0.05987831,1.43106,0.1308866,-0.08019097,-0.1188049,-0.4601861,0.8947209,-0.249714,1.118179,-0.2041016,0.05555749,-0.2196051
Left180_1,0.03389847,0.03122756,0.09930233,-0.1391638,0.6718005,0.0179965,0.1809049,-0.3763266,0.5736381,-0.04327915,0.2803114,-0.5662201,0.387398,-0.07917716,0.3232906,-0.6653171,0.1674384,-0.02251902,0.05356614,-0.06753411,0.2772313,0.07741968,-0.2281955,-0.06384886,1.432032,0.1264852,-0.06250106,-0.1121245,-0.465565,0.8607864,-0.2034288,1.148295,-0.1985276,0.04860759,-0.2200685
Left180_1,0.05084967,0.03239556,0.0967834,-0.1512584,0.6691811,0.01390614,0.1792561,-0.3871213,0.5664093,-0.04720253,0.2799321,-0.5749944,0.3742512,-0.08270691,0.3154389,-0.6698425,0.1483018,-0.02571057,0.05227112,-0.07437596,0.2876536,0.07348006,-0.2110249,-0.06524161,1.43284,0.1233609,-0.1595773,-0.06475076,-0.3420923,0.5211174,-0.1969811,0.8585282,-0.06963722,0.04040599,-0.1562156
Left180_1,0.06797773,0.03478966,0.1009359,-0.1836277,0.661032,0.009919086,0.1778494,-0.3971447,0.559427,-0.05095495,0.2796368,-0.5835239,0.360808,-0.08593827,0.3073118,-0.6737428,0.1294343,-0.02884037,0.05103147,-0.08140253,0.297752,0.06992693,-0.1932301,-0.0665339,1.433604,0.1201806,-0.1564904,-0.0619825,-0.3513284,0.5049199,-0.1776569,0.8897387,-0.06461479,0.03823042,-0.1590155
Left180_1,0.1019121,0.03273873,0.09103853,-0.1882452,0.659732,0.005836349,0.1695194,-0.3986391,0.5583632,-0.05331408,0.2715143,-0.5864921,0.3559628,-0.08673154,0.2925228,-0.6753908,0.1205397,-0.03743874,0.04866378,-0.09532655,0.3144692,0.06256491,-0.1560219,-0.06649733,1.43527,0.1133382,-0.4299181,-0.1183847,-0.6962013,0.8358598,-0.3681008,1.860414,0.001828372,0.08327961,-0.3421202
Left180_1,0.1189245,0.03066028,0.08441909,-0.1936482,0.6581663,0.002595206,0.1665922,-0.405183,0.5536327,-0.05853867,0.2726956,-0.600502,0.3317828,-0.08648507,0.2789854,-0.680737,0.0853214,-0.0431008,0.04722809,-0.1037455,0.3225817,0.058332,-0.1318789,-0.06591477,1.436117,0.1099926,-0.2831031,-0.07178467,-0.420947,0.405623,-0.2116453,1.207148,0.02912842,0.04232526,-0.1672789
Left180_1,0.1358737,0.02826253,0.0786959,-0.198724,0.6566516,-0.0005171825,0.1642867,-0.4123867,0.548288,-0.06112652,0.2693762,-0.6048637,0.323763,-0.08440565,0.2679488,-0.6823394,0.07138309,-0.04857989,0.04601091,-0.1119825,0.3290126,0.05491751,-0.1083219,-0.06524628,1.436816,0.1068996,-0.2739545,-0.06085895,-0.4118524,0.3215447,-0.1707247,1.17785,0.03342405,0.0349462,-0.1546513
Left180_1,0.1529047,0.02600781,0.07580654,-0.2024298,0.6555187,-0.009616908,0.172989,-0.4409068,0.5256271,-0.0633088,0.268716,-0.6082681,0.3173207,-0.07928289,0.258288,-0.6836513,0.05747647,-0.05426922,0.04551376,-0.1187012,0.3336709,0.05216731,-0.09188063,-0.06418496,1.437227,0.1051005,-0.2844667,-0.02485737,-0.335934,0.2329156,-0.1375102,0.8220643,0.05306602,0.0205636,-0.08995458
Left180_1,0.1698417,0.02363712,0.07376888,-0.2078022,0.6538354,-0.01369531,0.1737526,-0.4486234,0.5190564,-0.0651503,0.2680199,-0.6112624,0.3115137,-0.07450968,0.2485548,-0.6846927,0.04334045,-0.05981874,0.04493905,-0.1251639,0.3377196,0.04992844,-0.07539321,-0.06321596,1.437539,0.1034421,-0.277476,-0.0287354,-0.3231324,0.2024353,-0.1119433,0.824371,0.04845001,0.01558661,-0.082919
Left180_1,0.203887,0.01884631,0.07144535,-0.2171766,0.6507817,-0.016144,0.1683362,-0.4443153,0.5227489,-0.06213362,0.259396,-0.6055161,0.3225412,-0.06781927,0.2337682,-0.6846799,0.04354444,-0.07071506,0.04282181,-0.1368915,0.3437294,0.04654991,-0.04204326,-0.06207864,1.437637,0.1015611,-0.5448161,-0.1058621,-0.5863838,0.3004894,-0.1689265,1.667497,0.056866,0.004941225,-0.09404868
Left180_1,0.2208647,0.01548727,0.06879994,-0.2162216,0.6510996,-0.02020157,0.1701176,-0.4499624,0.5178961,-0.06088014,0.2541156,-0.6046423,0.3241762,-0.05931358,0.2181034,-0.686047,0.0047084,-0.07781404,0.04224262,-0.1448744,0.3488683,0.0453335,-0.02174383,-0.06207962,1.437393,0.1013099,-0.3549486,-0.02895948,-0.3991418,0.2569467,-0.06082058,1.014972,-4.88013E-05,-0.01220107,-0.01255907
Left180_1,0.2378427,0.01211526,0.06694378,-0.2157002,0.6512725,-0.02461567,0.1737369,-0.4565783,0.5120729,-0.06147811,0.2486881,-0.61166,0.3107324,-0.05550233,0.2094082,-0.6860484,-0.004501286,-0.08468394,0.04168873,-0.1520518,0.3527127,0.04483477,-0.003044638,-0.06209489,1.437082,0.1012323,-0.3434952,-0.02769474,-0.3588706,0.1922175,-0.02493653,0.9349594,-0.000763312,-0.01557469,-0.003882125
Left180_1,0.2548184,0.008903566,0.06722735,-0.2163914,0.6510432,-0.0279491,0.1768883,-0.4576322,0.5111314,-0.061921,0.2450611,-0.6146431,0.304789,-0.05349272,0.2049283,-0.6859878,-0.01015827,-0.09120457,0.04105561,-0.1571072,0.3555049,0.04469965,0.01082529,-0.06218761,1.436777,0.1016093,-0.3260314,-0.03165565,-0.2527706,0.1396105,-0.006756,0.6934962,-0.00463631,-0.01526475,0.01884848
Left180_1,0.2718237,0.005811982,0.06889371,-0.2191496,0.65012,-0.03374101,0.1862545,-0.4666166,0.5029428,-0.06267484,0.2417268,-0.6175221,0.2989131,-0.05271961,0.2013129,-0.6858937,-0.0152428,-0.09805106,0.04051051,-0.1616863,0.3581445,0.04484334,0.02401379,-0.06250107,1.436483,0.1019308,-0.3423248,-0.02725534,-0.2289526,0.1319811,0.007184409,0.6594253,-0.01567267,-0.01468658,0.0160791
