AnimationName,Timestamp,Root_P_x_0,Root_P_z_0,Root_F_x_0,Root_F_z_0,Root_P_x_1,Root_P_z_1,Root_F_x_1,Root_F_z_1,Root_P_x_2,Root_P_z_2,Root_F_x_2,Root_F_z_2,Root_P_x_3,Root_P_z_3,Root_F_x_3,Root_F_z_3,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,Neck_P_x,Neck_P_y,Neck_P_z,LeftFoot_V_x,LeftFoot_V_y,LeftFoot_V_z,RightFoot_V_x,RightFoot_V_y,RightFoot_V_z,Neck_V_x,Neck_V_y,Neck_V_z
90Right,0,0.000638783,-0.02131133,0.2823721,0.9593049,0.05452054,0.03769887,0.5362397,0.8440658,0.1664299,0.138459,0.7535826,0.6573533,0.2419566,0.2157236,0.8812557,0.4726399,-0.0350035,0.1140394,-0.08696502,0.1264874,0.1093498,-0.01418494,-0.03626949,1.452914,-0.005410619,0,0,0,0,0,0,0,0,0
90Right,0.01936083,0.002167506,-0.02050883,0.3034743,0.9528396,0.06017185,0.04870775,0.5382494,0.8427857,0.1747322,0.1525069,0.7641685,0.6450167,0.2450943,0.228214,0.8781744,0.4783406,-0.03232083,0.1141283,-0.08685447,0.126043,0.1090021,-0.01093775,-0.03829878,1.452695,-0.00506361,0.1341335,0.004446507,0.005527586,-0.02221987,-0.01738667,0.1623593,-0.1014642,-0.01096725,0.01735042
90Right,0.04195039,0.004034851,-0.01886527,0.2931394,0.9560697,0.07303609,0.0676373,0.5481417,0.8363854,0.176565,0.1636944,0.7578354,0.6524459,0.2472056,0.2438142,0.8717209,0.4900028,-0.02843346,0.1140017,-0.08572478,0.1264456,0.1079397,-0.004883792,-0.04133867,1.452462,-0.005516572,0.1943684,-0.006330013,0.05648471,0.02013072,-0.05312264,0.302698,-0.1519946,-0.01161098,-0.02264809
90Right,0.05890123,0.005617356,-0.01713487,0.2853884,0.958412,0.0800394,0.07901897,0.5442556,0.8389195,0.1793421,0.1760099,0.7556204,0.6550097,0.2558442,0.2676557,0.8726588,0.4883304,-0.02466959,0.11363,-0.08365389,0.1278853,0.1064089,0.002354748,-0.0443962,1.452313,-0.006904362,0.1881935,-0.01858473,0.1035444,0.07198378,-0.07653832,0.3619271,-0.1528764,-0.007462502,-0.06938951
90Right,0.0928953,0.008252867,-0.01219572,0.2625719,0.9649124,0.08330685,0.09319378,0.5260952,0.8504257,0.1780552,0.1923422,0.740058,0.6725432,0.2489921,0.2888999,0.8591505,0.5117232,-0.02099264,0.1129027,-0.08091894,0.1262597,0.1042894,0.01205059,-0.04847918,1.452071,-0.0085257,0.1838475,-0.03636479,0.1367476,-0.08127838,-0.1059771,0.4847921,-0.2041489,-0.01211166,-0.08106691
90Right,0.1099377,0.00974902,-0.008358347,0.263277,0.9647203,0.08686029,0.1039051,0.5252885,0.8509242,0.1788411,0.2031703,0.738054,0.6747417,0.2482502,0.3041714,0.8559904,0.5169917,-0.02020634,0.1125958,-0.08005694,0.1241736,0.1033801,0.01621032,-0.04981654,1.452006,-0.009186586,0.03931494,-0.01534522,0.04310012,-0.1043074,-0.04546344,0.2079867,-0.06686822,-0.003242493,-0.0330443
90Right,0.1268874,0.0116173,-0.003072001,0.2718485,0.9623401,0.09007546,0.1146481,0.5231431,0.8522449,0.1778869,0.2136698,0.7357481,0.6772555,0.2486498,0.3205169,0.8527409,0.5223342,-0.01977031,0.1123257,-0.07940076,0.1217263,0.1025085,0.02040759,-0.05084897,1.451969,-0.009867607,0.02180124,-0.01350641,0.03280863,-0.1223601,-0.04357994,0.2098632,-0.05162135,-0.001841784,-0.03405102
90Right,0.1439286,0.01382824,0.002987609,0.2678297,0.9634663,0.1025819,0.1348292,0.5374833,0.8432744,0.1755811,0.2249433,0.7308713,0.6825154,0.2500724,0.3409756,0.8485903,0.5290506,-0.0196972,0.1119645,-0.07783141,0.1179206,0.101519,0.02575375,-0.05157518,1.451967,-0.01114397,0.003655907,-0.01805723,0.07846765,-0.1902878,-0.04947186,0.2673079,-0.03631078,-0.0001132488,-0.06381832
90Right,0.1608925,0.02087248,0.01687992,0.2766008,0.9609849,0.1071045,0.1484443,0.5365967,0.8438389,0.1763388,0.2430264,0.7343115,0.6788128,0.2490939,0.3604414,0.8417976,0.5397934,-0.01989336,0.1115532,-0.0757107,0.1135214,0.1005416,0.03190912,-0.0520962,1.451979,-0.0127874,-0.009808037,-0.02056658,0.1060355,-0.2199594,-0.04887283,0.3077685,-0.02605096,0.0006198883,-0.08217152
90Right,0.1778935,0.02415691,0.02653772,0.2719214,0.9623195,0.107843,0.1590561,0.5329562,0.8461428,0.1764618,0.2561008,0.7296609,0.6838093,0.2471468,0.3786429,0.8363709,0.5481641,-0.0194042,0.1114379,-0.07387874,0.1106729,0.09964556,0.03714416,-0.05206751,1.452041,-0.0139833,0.02445802,-0.005763769,0.09159781,-0.1424253,-0.04480183,0.2617523,0.001434609,0.0030756,-0.05979473
90Right,0.2050887,0.02664179,0.03851452,0.2601914,0.965557,0.1070237,0.1719597,0.5221227,0.8528704,0.1722664,0.2715369,0.718143,0.6958956,0.2476849,0.4130481,0.8314219,0.5556416,-0.01808604,0.111514,-0.07144423,0.1074481,0.0984816,0.04448476,-0.05152098,1.45217,-0.01549306,0.06590775,0.003802776,0.1217257,-0.1612388,-0.05819798,0.36703,0.02732631,0.006443262,-0.07548821
90Right,0.2228689,0.02955774,0.05034493,0.2598538,0.965648,0.10945,0.1833289,0.5218664,0.8530272,0.1683508,0.2840144,0.7164995,0.6975877,0.2463503,0.4321805,0.8262799,0.5632598,-0.01736655,0.111602,-0.07065056,0.1056753,0.09823424,0.04890317,-0.05100908,1.452229,-0.01643682,0.03597438,0.004401803,0.03968328,-0.08864142,-0.01236796,0.2209203,0.02559517,0.002962351,-0.04718765
90Right,0.2398497,0.03129117,0.06200502,0.2582401,0.9660807,0.1100231,0.1936706,0.5210624,0.8535187,0.1645653,0.2955301,0.7119327,0.7022478,0.2493289,0.4542189,0.8205793,0.5715326,-0.01596343,0.1117735,-0.07055148,0.1040839,0.09818655,0.05260416,-0.05080083,1.45229,-0.01764754,0.07015634,0.008574128,0.004953891,-0.07957146,-0.002384186,0.1850495,0.01041275,0.003057718,-0.06053625
90Right,0.273832,0.0319826,0.07322951,0.2355171,0.9718702,0.1054364,0.2046861,0.5014467,0.8651886,0.1559893,0.310715,0.6915953,0.7222853,0.2425926,0.4814438,0.8019356,0.5974106,-0.01141396,0.1124018,-0.07214767,0.1011637,0.0987137,0.05793871,-0.05089732,1.452422,-0.02079524,0.2274733,0.03141761,-0.0798095,-0.1460087,0.02635717,0.2667274,-0.00482481,0.006580353,-0.157385
90Right,0.2908247,0.03294384,0.08408414,0.2418571,0.9703119,0.1084873,0.2189601,0.5189927,0.8547787,0.1554865,0.3224228,0.6897868,0.7240126,0.2442243,0.5004616,0.7984674,0.6020381,-0.009976674,0.1127028,-0.07244886,0.09980753,0.09915841,0.05973157,-0.05032641,1.452486,-0.02180418,0.07186439,0.01505017,-0.01505911,-0.06780811,0.02223551,0.08964334,0.02854578,0.003200769,-0.05044714
90Right,0.3078481,0.038971,0.1035622,0.26358,0.9646375,0.1078421,0.2268585,0.5197684,0.8543073,0.1585445,0.3443585,0.6970028,0.7170684,0.2471489,0.5230191,0.7962224,0.6050042,-0.008769711,0.1130086,-0.07307731,0.09793024,0.09977829,0.0605286,-0.04950365,1.452545,-0.02281668,0.06034812,0.01528859,-0.03142245,-0.09386465,0.03099442,0.03985111,0.04113782,0.002980232,-0.05062465
90Right,0.3248203,0.04126916,0.112716,0.2668242,0.9637452,0.1068134,0.235077,0.5237061,0.851899,0.1532331,0.3537423,0.6946408,0.7193568,0.2468667,0.5410091,0.792596,0.6097472,-0.007808119,0.1133223,-0.07410623,0.09544785,0.1006116,0.06016182,-0.04839258,1.452597,-0.02382276,0.04807965,0.01568198,-0.05144626,-0.1241192,0.04166663,-0.01833867,0.05555358,0.002574921,-0.05030427
90Right,0.3417932,0.04129669,0.1199732,0.2656401,0.9640723,0.1043303,0.2417698,0.5209999,0.8535568,0.1478051,0.3642957,0.6896793,0.7241149,0.2577948,0.5783985,0.7932546,0.6088902,-0.0067542,0.1138659,-0.07715224,0.09261237,0.1013297,0.06023432,-0.04705545,1.452732,-0.02509984,0.05269593,0.0271827,-0.1523007,-0.1417741,0.03590286,0.003624707,0.06685629,0.006747246,-0.06385381
90Right,0.3622239,0.03978112,0.1258276,0.2561931,0.9666256,0.09905324,0.2474863,0.510881,0.8596515,0.1401387,0.3758396,0.6786309,0.7344795,0.2509956,0.5986586,0.7825251,0.6226192,-0.005449093,0.114842,-0.08327652,0.08872264,0.1020611,0.06081195,-0.04514914,1.45298,-0.02693491,0.06525535,0.04880428,-0.3062136,-0.1944866,0.03657043,0.02888162,0.09531565,0.01240373,-0.09175353
90Right,0.3791739,0.03912441,0.1305649,0.2541979,0.9671522,0.09453136,0.2507572,0.5083382,0.8611577,0.13709,0.3889133,0.6758927,0.7370001,0.244626,0.6123403,0.7772471,0.6291955,-0.005065003,0.1153449,-0.08917957,0.0859195,0.1030794,0.05907155,-0.04412508,1.453101,-0.02828649,0.01920448,0.02514422,-0.2951525,-0.140157,0.05091727,-0.08701999,0.051203,0.006049871,-0.0675791
90Right,0.4138103,0.04050773,0.1386266,0.2597249,0.9656826,0.0831082,0.2464906,0.4924349,0.8703493,0.1242879,0.3932836,0.6596475,0.7515752,0.2249557,0.6200808,0.7617836,0.6478316,-0.005185654,0.1162213,-0.1043513,0.0806968,0.1060538,0.05478391,-0.04122439,1.453333,-0.03013091,-0.006032549,0.04382133,-0.7585876,-0.261135,0.1487166,-0.2143817,0.1450343,0.01158714,-0.09222105
