uniqueID,AnimationName,Timestamp,Root_P_x_0,Root_P_z_0,Root_F_x_0,Root_F_z_0,Root_P_x_1,Root_P_z_1,Root_F_x_1,Root_F_z_1,Root_P_x_2,Root_P_z_2,Root_F_x_2,Root_F_z_2,Root_P_x_3,Root_P_z_3,Root_F_x_3,Root_F_z_3
0,Left180_1,0,0.03009053,0.1072835,-0.1071446,0.6776448,0.02903784,0.1805474,-0.3272941,0.6029603,-0.02648887,0.2820384,-0.5402352,0.4228812,-0.06947163,0.3433188,-0.6526828,0.2113947
1,Left180_1,0.01695081,0.03049965,0.1033766,-0.1230811,0.6749322,0.02472512,0.1773227,-0.3442612,0.5934364,-0.0374134,0.2844526,-0.557451,0.3999135,-0.07438119,0.3333531,-0.6593508,0.1895759
2,Left180_1,0.03389847,0.03122756,0.09930233,-0.1391638,0.6718005,0.0179965,0.1809049,-0.3763266,0.5736381,-0.04327915,0.2803114,-0.5662201,0.387398,-0.07917716,0.3232906,-0.6653171,0.1674384
3,Left180_1,0.05084967,0.03239556,0.0967834,-0.1512584,0.6691811,0.01390614,0.1792561,-0.3871213,0.5664093,-0.04720253,0.2799321,-0.5749944,0.3742512,-0.08270691,0.3154389,-0.6698425,0.1483018
4,Left180_1,0.06797773,0.03478966,0.1009359,-0.1836277,0.661032,0.009919086,0.1778494,-0.3971447,0.559427,-0.05095495,0.2796368,-0.5835239,0.360808,-0.08593827,0.3073118,-0.6737428,0.1294343
5,Left180_1,0.1019121,0.03273873,0.09103853,-0.1882452,0.659732,0.005836349,0.1695194,-0.3986391,0.5583632,-0.05331408,0.2715143,-0.5864921,0.3559628,-0.08673154,0.2925228,-0.6753908,0.1205397
6,Left180_1,0.1189245,0.03066028,0.08441909,-0.1936482,0.6581663,0.002595206,0.1665922,-0.405183,0.5536327,-0.05853867,0.2726956,-0.600502,0.3317828,-0.08648507,0.2789854,-0.680737,0.0853214
7,Left180_1,0.1358737,0.02826253,0.0786959,-0.198724,0.6566516,-0.0005171825,0.1642867,-0.4123867,0.548288,-0.06112652,0.2693762,-0.6048637,0.323763,-0.08440565,0.2679488,-0.6823394,0.07138309
8,Left180_1,0.1529047,0.02600781,0.07580654,-0.2024298,0.6555187,-0.009616908,0.172989,-0.4409068,0.5256271,-0.0633088,0.268716,-0.6082681,0.3173207,-0.07928289,0.258288,-0.6836513,0.05747647
9,Left180_1,0.1698417,0.02363712,0.07376888,-0.2078022,0.6538354,-0.01369531,0.1737526,-0.4486234,0.5190564,-0.0651503,0.2680199,-0.6112624,0.3115137,-0.07450968,0.2485548,-0.6846927,0.04334045
10,Left180_1,0.203887,0.01884631,0.07144535,-0.2171766,0.6507817,-0.016144,0.1683362,-0.4443153,0.5227489,-0.06213362,0.259396,-0.6055161,0.3225412,-0.06781927,0.2337682,-0.6846799,0.04354444
11,Left180_1,0.2208647,0.01548727,0.06879994,-0.2162216,0.6510996,-0.02020157,0.1701176,-0.4499624,0.5178961,-0.06088014,0.2541156,-0.6046423,0.3241762,-0.05931358,0.2181034,-0.686047,0.0047084
12,Left180_1,0.2378427,0.01211526,0.06694378,-0.2157002,0.6512725,-0.02461567,0.1737369,-0.4565783,0.5120729,-0.06147811,0.2486881,-0.61166,0.3107324,-0.05550233,0.2094082,-0.6860484,-0.004501286
