AnimationName,Timestamp,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,Neck_P_x,Neck_P_y,Neck_P_z,LeftFoot_V_x,LeftFoot_V_y,LeftFoot_V_z,RightFoot_V_x,RightFoot_V_y,RightFoot_V_z,Neck_V_x,Neck_V_y,Neck_V_z
Left180_1,0,,-0.01966518,0.05818473,-0.04901909,0.2421211,0.08648254,-0.2735249,-0.05579628,1.429948,0.1352787,0,0,0,0,0,0,0,0,0
Left180_1,0.01712135,,-0.02128285,0.05578505,-0.05831632,0.2601934,0.08144252,-0.2509319,-0.05991933,1.43107,0.1308421,-0.08088332,-0.1199838,-0.4648613,0.9036124,-0.252001,1.12965,-0.2061525,0.05607605,-0.2218306
Left180_1,0.03412229,,-0.0225626,0.05354871,-0.06762343,0.2773709,0.07736467,-0.2279716,-0.06386719,1.432043,0.1264441,-0.06398745,-0.1118172,-0.4653556,0.8588761,-0.2038926,1.148017,-0.1973931,0.04864335,-0.2198979
Left180_1,0.05351546,,-0.02619378,0.0520735,-0.07546416,0.2892634,0.07290497,-0.2082848,-0.06546003,1.432961,0.1228694,-0.1815593,-0.07376019,-0.3920365,0.5946249,-0.2229851,0.9843424,-0.07964186,0.04589558,-0.1787346
Left180_1,0.08813357,,-0.03390873,0.04961636,-0.08953744,0.3077883,0.06538329,-0.1716566,-0.06654262,1.434621,0.1161113,-0.3857476,-0.1228571,-0.7036641,0.9262428,-0.3760837,1.831408,-0.05412959,0.08301139,-0.3379066
Left180_1,0.1051491,,-0.03853206,0.0483832,-0.09691737,0.3161252,0.06169973,-0.1515022,-0.06638792,1.43544,0.1127013,-0.2311666,-0.06165821,-0.3689964,0.4168466,-0.1841784,1.007722,0.00773482,0.04093051,-0.1705009
Left180_1,0.122098,,-0.04413337,0.04697094,-0.1053308,0.3239302,0.05762958,-0.1272744,-0.06580395,1.436262,0.1093692,-0.2800653,-0.07061288,-0.4206724,0.3902495,-0.2035072,1.211389,0.02919883,0.0411272,-0.1666043
Left180_1,0.1391277,,-0.04967059,0.04591128,-0.1132672,0.3299436,0.05435289,-0.1052068,-0.0650428,1.436899,0.1065575,-0.2768612,-0.05298313,-0.3968202,0.3006697,-0.1638345,1.103377,0.03805719,0.0318408,-0.140585
Left180_1,0.15612,,-0.0553375,0.04542674,-0.1199685,0.3344905,0.05170514,-0.08874047,-0.06398565,1.437297,0.1047585,-0.2833456,-0.02422705,-0.3350638,0.2273485,-0.1323875,0.823319,0.0528574,0.01992583,-0.08994862
Left180_1,0.1730901,,-0.06082795,0.04471999,-0.1262298,0.3383777,0.04954655,-0.07234043,-0.063095,1.437562,0.103247,-0.2745224,-0.03533717,-0.3130663,0.1943588,-0.1079297,0.820002,0.04453249,0.01324415,-0.07557273
Left180_1,0.1900998,,-0.06606251,0.04359873,-0.1318114,0.3412054,0.04778405,-0.05617865,-0.06245443,1.437653,0.1022206,-0.2617279,-0.0560632,-0.2790764,0.1413822,-0.08812472,0.8080889,0.03202874,0.004535913,-0.05132034
